Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Indonesia,IDN,2015,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,22.1
Indonesia,IDN,2009,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,31.2
Indonesia,IDN,2015,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,22.1
Indonesia,IDN,2009,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,42.8
Indonesia,IDN,2020,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.7814483642578
Indonesia,IDN,2018,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.6962509155273
Indonesia,IDN,2017,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.2900009155273
Indonesia,IDN,2016,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.6535110473633
Indonesia,IDN,2015,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.6370162963867
Indonesia,IDN,2014,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.6788330078125
Indonesia,IDN,2011,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,98.7518005371094
Indonesia,IDN,2009,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.3965911865234
Indonesia,IDN,2008,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.3824081420898
Indonesia,IDN,2006,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,96.2723617553711
Indonesia,IDN,2004,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,98.5421600341797
Indonesia,IDN,1990,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,95.0692520141602
Indonesia,IDN,1980,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,81.6483993530273
Indonesia,IDN,2020,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.00004005432129
Indonesia,IDN,2018,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.999790012836456
Indonesia,IDN,2017,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.993595540523529
Indonesia,IDN,2016,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.999700009822845
Indonesia,IDN,2015,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.999350011348724
Indonesia,IDN,2014,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.999970018863678
